"id","num_stimulus","legumes_fix","feculents_fix","proteines_fix","fruits_fix","legumes_tps","feculents_tps","proteines_tps","fruits_tps","classe"
3,352,15,25,13,15,4305,10476,4848,6752,"Equilibre"
2,352,3,4,3,2,1799,2376,1915,979,"Equilibre"
37,352,3,4,3,1,1579,1898,1288,1024,"PresqueEquilibre"
36,352,7,15,7,8,1628,4520,2061,1570,"Equilibre"
34,352,6,19,11,8,1821,6472,3487,2096,"PasEquilibre"
33,352,6,13,4,9,1751,5448,1635,2217,"PresqueEquilibre"
32,352,12,16,3,8,3768,9991,480,2858,"PresqueEquilibre"
31,352,5,15,3,10,2159,3981,2376,3026,"PresqueEquilibre"
30,352,3,5,2,2,348,1400,508,137,"Equilibre"
48,980,6,19,15,4,1672,15840,13307,1463,"Equilibre"
45,980,3,14,17,20,1278,6245,9451,8598,"Equilibre"
46,980,4,7,5,2,2429,3016,2842,1227,"Equilibre"
44,980,4,7,7,4,653,3069,2759,900,"PresqueEquilibre"
43,980,12,41,31,10,3358,13755,12745,3062,"PresqueEquilibre"
42,980,7,19,15,8,1728,7697,8205,3558,"Equilibre"
41,980,5,7,7,3,1216,3441,3557,1426,"Equilibre"
39,980,7,13,13,4,2021,6480,7023,1158,"Equilibre"
38,980,8,5,7,5,5126,2331,3094,1701,"PresqueEquilibre"
35,980,12,34,28,25,3141,14918,14690,8519,"PasEquilibre"
29,980,5,8,8,7,1164,2816,3198,2409,"Equilibre"
28,980,4,8,8,4,1386,5200,3614,1970,"Equilibre"
27,980,4,8,11,8,941,5100,6380,3153,"Equilibre"
26,980,2,17,16,8,140,8499,8973,3226,"PresqueEquilibre"
25,980,15,20,21,17,5880,6422,7305,4637,"Equilibre"
22,980,2,3,3,1,359,1614,1641,338,"Equilibre"
23,980,5,15,10,6,1252,8385,8073,2588,"Equilibre"
21,980,5,5,3,5,1735,1774,1581,1008,"Equilibre"
20,980,7,16,17,13,1440,4318,5905,3619,"Equilibre"
18,980,9,22,19,12,4031,12875,10173,3139,"Equilibre"
19,980,13,19,12,5,2337,5102,5210,2507,"Equilibre"
17,980,5,8,11,12,2130,2578,2716,2686,"Equilibre"
15,980,8,15,16,10,3364,6107,6002,2480,"Equilibre"
