"id","num_stimulus","var_x","var_y","id_tester","id_item"
"11","756",0,0,"de86783a-ac86-419a-a230-dad6b421fba4","213479f7-39af-4b83-b0e9-4ba473d27429"
"11","980",0,0,"de86783a-ac86-419a-a230-dad6b421fba4","5445f170-12c1-48fc-9563-3709dd2993b0"
"12","156",0,0,"919c7921-7cef-4620-a2fe-766180ed2fbb","34359006-f70f-438e-85d0-420cf2fe6944"
"12","238",0,0,"919c7921-7cef-4620-a2fe-766180ed2fbb","6afda059-04a5-4308-b776-a532ed142284"
"12","327",10,-11,"919c7921-7cef-4620-a2fe-766180ed2fbb","dd13fcba-0ae1-43d3-9d32-1672ed84f151"
"12","352",0,0,"919c7921-7cef-4620-a2fe-766180ed2fbb","f61f9030-d814-495d-af95-0e643697de64"
"12","421",0,0,"919c7921-7cef-4620-a2fe-766180ed2fbb","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a"
"12","489",0,0,"919c7921-7cef-4620-a2fe-766180ed2fbb","cc2a8b56-732c-4e4c-a058-248783b68587"
"12","672",0,0,"919c7921-7cef-4620-a2fe-766180ed2fbb","20f3c152-6ebf-49db-8e1a-00eebd99feb6"
"12","756",0,0,"919c7921-7cef-4620-a2fe-766180ed2fbb","213479f7-39af-4b83-b0e9-4ba473d27429"
"12","980",0,0,"919c7921-7cef-4620-a2fe-766180ed2fbb","5445f170-12c1-48fc-9563-3709dd2993b0"
"13","156",0,-19,"06026e76-f9a4-4fb9-877d-bcd33373cdab","34359006-f70f-438e-85d0-420cf2fe6944"
"13","238",0,0,"06026e76-f9a4-4fb9-877d-bcd33373cdab","6afda059-04a5-4308-b776-a532ed142284"
"13","327",2,-47,"06026e76-f9a4-4fb9-877d-bcd33373cdab","dd13fcba-0ae1-43d3-9d32-1672ed84f151"
"13","352",0,0,"06026e76-f9a4-4fb9-877d-bcd33373cdab","f61f9030-d814-495d-af95-0e643697de64"
"13","421",1,-48,"06026e76-f9a4-4fb9-877d-bcd33373cdab","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a"
"13","489",11,-16,"06026e76-f9a4-4fb9-877d-bcd33373cdab","cc2a8b56-732c-4e4c-a058-248783b68587"
"13","672",1,-20,"06026e76-f9a4-4fb9-877d-bcd33373cdab","20f3c152-6ebf-49db-8e1a-00eebd99feb6"
"13","756",8,-28,"06026e76-f9a4-4fb9-877d-bcd33373cdab","213479f7-39af-4b83-b0e9-4ba473d27429"
"13","980",7,-16,"06026e76-f9a4-4fb9-877d-bcd33373cdab","5445f170-12c1-48fc-9563-3709dd2993b0"
"14","156",0,0,"9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","34359006-f70f-438e-85d0-420cf2fe6944"
"14","238",0,0,"9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","6afda059-04a5-4308-b776-a532ed142284"
"14","327",0,0,"9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","dd13fcba-0ae1-43d3-9d32-1672ed84f151"
"14","352",0,0,"9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","f61f9030-d814-495d-af95-0e643697de64"
"14","421",0,0,"9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a"
"14","489",0,0,"9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","cc2a8b56-732c-4e4c-a058-248783b68587"
"14","672",0,0,"9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","20f3c152-6ebf-49db-8e1a-00eebd99feb6"
"14","756",0,0,"9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","213479f7-39af-4b83-b0e9-4ba473d27429"
"14","980",0,0,"9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","5445f170-12c1-48fc-9563-3709dd2993b0"
"15","156",0,-14,"4995f6d3-50ed-427d-9cf2-4ea0b81a229c","34359006-f70f-438e-85d0-420cf2fe6944"
"15","238",12,-19,"4995f6d3-50ed-427d-9cf2-4ea0b81a229c","6afda059-04a5-4308-b776-a532ed142284"
"15","327",0,0,"4995f6d3-50ed-427d-9cf2-4ea0b81a229c","dd13fcba-0ae1-43d3-9d32-1672ed84f151"
"15","352",0,0,"4995f6d3-50ed-427d-9cf2-4ea0b81a229c","f61f9030-d814-495d-af95-0e643697de64"
"15","421",0,0,"4995f6d3-50ed-427d-9cf2-4ea0b81a229c","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a"
"15","489",0,-9,"4995f6d3-50ed-427d-9cf2-4ea0b81a229c","cc2a8b56-732c-4e4c-a058-248783b68587"
"15","672",19,-17,"4995f6d3-50ed-427d-9cf2-4ea0b81a229c","20f3c152-6ebf-49db-8e1a-00eebd99feb6"
"15","756",0,0,"4995f6d3-50ed-427d-9cf2-4ea0b81a229c","213479f7-39af-4b83-b0e9-4ba473d27429"
"15","980",25,-25,"4995f6d3-50ed-427d-9cf2-4ea0b81a229c","5445f170-12c1-48fc-9563-3709dd2993b0"
"16","156",-10,-8,"27e050a3-45e8-4076-9c25-32be9040da4e","34359006-f70f-438e-85d0-420cf2fe6944"
"16","238",0,0,"27e050a3-45e8-4076-9c25-32be9040da4e","6afda059-04a5-4308-b776-a532ed142284"
"16","327",0,0,"27e050a3-45e8-4076-9c25-32be9040da4e","dd13fcba-0ae1-43d3-9d32-1672ed84f151"
"16","352",-7,-5,"27e050a3-45e8-4076-9c25-32be9040da4e","f61f9030-d814-495d-af95-0e643697de64"
"16","421",0,0,"27e050a3-45e8-4076-9c25-32be9040da4e","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a"
"16","489",-19,-8,"27e050a3-45e8-4076-9c25-32be9040da4e","cc2a8b56-732c-4e4c-a058-248783b68587"
"16","672",-8,2,"27e050a3-45e8-4076-9c25-32be9040da4e","20f3c152-6ebf-49db-8e1a-00eebd99feb6"
