"id_tester","id","id_item","num_stimulus","pays","feculents_fix","proteines_fix","fruits_fix","legumes_fix","fix_tot","feculents_tps","proteines_tps","fruits_tps","legumes_tps","tps_tot","pct_feculents_tps","pct_proteines_tps","pct_fruits_tps","pct_legumes_tps","max","cat_max_tps","pct_feculents_fix","pct_proteines_fix","pct_fruits_fix","pct_legumes_fix","cat_max_fix"
"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe",44,"20f3c152-6ebf-49db-8e1a-00eebd99feb6",672,"Finland",7,0,5,9,21,2391,0,1828,3025,7244,33.0066261733849,0,25.2346769740475,41.7586968525676,9,"legumes",33.3333333333333,0,23.8095238095238,42.8571428571429,"legumes"
"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe",44,"213479f7-39af-4b83-b0e9-4ba473d27429",756,"Spain",6,3,3,6,18,1765,1324,995,1494,5578,31.6421656507709,23.7361061312298,17.8379347436357,26.7837934743636,6,"feculents",33.3333333333333,16.6666666666667,16.6666666666667,33.3333333333333,"legumes"
"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe",44,"7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",421,"France",0,6,5,3,14,0,2406,2409,781,5596,0,42.9949964260186,43.048606147248,13.9563974267334,6,"fruits",0,42.8571428571429,35.7142857142857,21.4285714285714,"proteines"
"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe",44,"cc2a8b56-732c-4e4c-a058-248783b68587",489,"South Korea",4,5,0,7,16,1945,2785,0,2077,6807,28.5735272513589,40.913765241663,0,30.5127075069781,7,"legumes",25,31.25,0,43.75,"legumes"
"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe",44,"dd13fcba-0ae1-43d3-9d32-1672ed84f151",327,"USA",2,3,1,2,8,1011,1957,31,426,3425,29.5182481751825,57.1386861313869,0.905109489051095,12.4379562043796,3,"feculents",25,37.5,12.5,25,"proteines"
"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe",44,"6afda059-04a5-4308-b776-a532ed142284",238,"Italy",5,2,2,3,12,988,1601,1582,595,4766,20.7301720520353,33.5921107847251,33.1934536298783,12.4842635333613,5,"fruits",41.6666666666667,16.6666666666667,16.6666666666667,25,"feculents"
"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe",44,"f61f9030-d814-495d-af95-0e643697de64",352,"Brazil",4,2,1,3,10,1228,1618,1015,1052,4913,24.9949114593934,32.9330348056178,20.6594748626094,21.4125788723794,4,"feculents",40,20,10,30,"feculents"
"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe",44,"5445f170-12c1-48fc-9563-3709dd2993b0",980,"Greece",7,7,4,3,21,2694,2395,936,611,6636,40.5967450271248,36.0910186859554,14.1048824593128,9.20735382760699,7,"feculents",33.3333333333333,33.3333333333333,19.047619047619,14.2857142857143,"proteines"
"a724528f-7fe6-4ad6-bba1-21cb02db2af5",43,"34359006-f70f-438e-85d0-420cf2fe6944",156,"Ukraine",28,12,0,30,70,15597,8989,0,10698,35284,44.2041718626006,25.4761364924612,0,30.3196916449382,30,"feculents",40,17.1428571428571,0,42.8571428571429,"legumes"
"a724528f-7fe6-4ad6-bba1-21cb02db2af5",43,"20f3c152-6ebf-49db-8e1a-00eebd99feb6",672,"Finland",17,0,8,31,56,8428,0,3289,10558,22275,37.8361391694725,0,14.7654320987654,47.3984287317621,31,"legumes",30.3571428571429,0,14.2857142857143,55.3571428571429,"legumes"
"a724528f-7fe6-4ad6-bba1-21cb02db2af5",43,"213479f7-39af-4b83-b0e9-4ba473d27429",756,"Spain",33,19,3,9,64,16073,9665,2348,2176,30262,53.1128147511731,31.9377437049765,7.7589055581257,7.19053598572467,33,"feculents",51.5625,29.6875,4.6875,14.0625,"feculents"
"a724528f-7fe6-4ad6-bba1-21cb02db2af5",43,"7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",421,"France",0,20,21,18,59,0,11975,10674,4209,26858,0,44.5863429890535,39.7423486484474,15.6713083624991,21,"fruits",0,33.8983050847458,35.5932203389831,30.5084745762712,"fruits"
"a724528f-7fe6-4ad6-bba1-21cb02db2af5",43,"cc2a8b56-732c-4e4c-a058-248783b68587",489,"South Korea",14,22,0,31,67,9300,15325,0,12035,36660,25.3682487725041,41.8030551009274,0,32.8286961265685,31,"legumes",20.8955223880597,32.8358208955224,0,46.2686567164179,"legumes"
"a724528f-7fe6-4ad6-bba1-21cb02db2af5",43,"dd13fcba-0ae1-43d3-9d32-1672ed84f151",327,"USA",10,10,3,8,31,3503,4027,1103,1304,9937,35.2520881553789,40.5253094495321,11.0999295562041,13.122672838885,10,"feculents",32.258064516129,32.258064516129,9.67741935483871,25.8064516129032,"proteines"
"a724528f-7fe6-4ad6-bba1-21cb02db2af5",43,"6afda059-04a5-4308-b776-a532ed142284",238,"Italy",12,12,5,8,37,6714,15297,1471,3410,26892,24.9665327978581,56.8830879071843,5.47002826119292,12.6803510337647,12,"feculents",32.4324324324324,32.4324324324324,13.5135135135135,21.6216216216216,"proteines"
"a724528f-7fe6-4ad6-bba1-21cb02db2af5",43,"f61f9030-d814-495d-af95-0e643697de64",352,"Brazil",20,4,9,14,47,11197,6503,3173,5388,26261,42.6373710064354,24.7629564753817,12.082555881345,20.5171166368379,20,"feculents",42.5531914893617,8.51063829787234,19.1489361702128,29.7872340425532,"feculents"
"a724528f-7fe6-4ad6-bba1-21cb02db2af5",43,"5445f170-12c1-48fc-9563-3709dd2993b0",980,"Greece",39,30,10,12,91,14080,13069,2738,3322,33209,42.3981450811527,39.3537896353398,8.24475292842302,10.0033123550845,39,"feculents",42.8571428571429,32.967032967033,10.989010989011,13.1868131868132,"feculents"
